budget,company,country,director,genre,gross,name,rating,released,runtime,score,star,Component1,Component2,Component3,Component4,Component5,cluster,Segment
207000000.0,Universal Pictures,New Zealand,Peter Jackson,Action,218080025.0,King Kong,PG-13,2005-12-14,187,7.2,Naomi Watts,340976,Fran Walsh,2005,5.727196186971484,-1.2414824060761116,2,third
26000000.0,Universal Pictures,USA,Judd Apatow,Comedy,109449237.0,The 40-Year-Old Virgin,R,2005-08-19,116,7.1,Steve Carell,334507,Judd Apatow,2005,0.9499865112593648,0.8957834814161632,1,second
120000000.0,Regency Enterprises,USA,Doug Liman,Action,186336279.0,Mr. & Mrs. Smith,PG-13,2005-06-10,120,6.5,Brad Pitt,379073,Simon Kinberg,2005,3.6797119397617433,0.03456579974609402,4,
4000000.0,Twisted Pictures,USA,Darren Lynn Bousman,Horror,87039965.0,Saw II,R,2005-10-28,93,6.6,Donnie Wahlberg,201006,Leigh Whannell,2005,0.25747486752703674,1.0437053315539826,3,fourth
1500000.0,Samuel Goldwyn Films,USA,Noah Baumbach,Comedy,7362100.0,The Squid and the Whale,R,2005-12-16,81,7.4,Owen Kline,64252,Noah Baumbach,2005,-0.7584421783907307,0.12329209175782259,0,first
7000000.0,Lions Gate Films,USA,Rob Zombie,Crime,17044981.0,The Devil's Rejects,R,2005-07-22,107,6.9,Sid Haig,80744,Rob Zombie,2005,-0.535731376904145,0.13589451977687142,0,first
40000000.0,Warner Bros.,USA,Tim Burton,Animation,53359111.0,Corpse Bride,PG,2005-09-23,77,7.4,Johnny Depp,205383,Tim Burton,2005,0.5358464660604515,-0.053177878063753015,3,fourth
35000000.0,Walt Disney Pictures,USA,Mike Mitchell,Adventure,63946815.0,Sky High,PG,2005-07-29,100,6.2,Kurt Russell,66438,Paul Hernandez,2005,0.56899377221058,0.17097704032959082,3,fourth
126000000.0,DreamWorks,USA,Michael Bay,Action,35818913.0,The Island,PG-13,2005-07-22,136,6.9,Scarlett Johansson,275721,Caspian Tredwell-Owen,2005,1.9653811163834871,-1.90897415832402,4,
15000000.0,Gold Circle Films,USA,Clare Kilner,Comedy,31726995.0,The Wedding Date,PG-13,2005-02-04,90,6.1,Dermot Mulroney,41497,Elizabeth Young,2005,-0.2045242445899476,0.16148947250192425,0,first
0.0,Baker Street,USA,Lexi Alexander,Crime,344095.0,Green Street Hooligans,R,2005-11-25,109,7.5,Elijah Wood,125881,Lexi Alexander,2005,-0.8723690465960846,0.06666750722543333,0,first
88000000.0,Universal Pictures,USA,Ron Howard,Biography,61649911.0,Cinderella Man,PG-13,2005-06-03,144,8.0,Russell Crowe,156991,Cliff Hollingsworth,2005,1.5534244537409367,-0.8692729679181345,3,fourth
72000000.0,Universal Pictures,USA,Sam Mendes,Action,62658220.0,Jarhead,R,2005-11-04,125,7.0,Jake Gyllenhaal,152251,William Broyles Jr.,2005,1.2600642292842366,-0.5514088331965458,3,fourth
70000000.0,DreamWorks,France,Steven Spielberg,Crime,47403685.0,Munich,R,2006-01-06,164,7.6,Eric Bana,186355,Tony Kushner,2005,1.0365049659185706,-0.6985650516649261,3,fourth
53000000.0,Metro-Goldwyn-Mayer (MGM),USA,F. Gary Gray,Comedy,56046979.0,Be Cool,PG-13,2005-03-04,118,5.7,John Travolta,61786,Elmore Leonard,2005,0.8168166259809527,-0.26882750997561156,3,fourth
52000000.0,Miramax,USA,Florent-Emilio Siri,Action,34639939.0,Hostage,R,2005-03-11,113,6.6,Bruce Willis,97552,Robert Crais,2005,0.5375990815101831,-0.509843531997738,3,fourth
32000000.0,New Line Cinema,USA,David Cronenberg,Crime,31493782.0,A History of Violence,R,2005-09-30,96,7.5,Viggo Mortensen,198947,John Wagner,2005,0.11735492680134466,-0.16605723773371547,3,fourth
100000000.0,Twentieth Century Fox Film Corporation,USA,Tim Story,Action,154696080.0,Fantastic Four,PG-13,2005-07-08,106,5.7,Ioan Gruffudd,280250,Mark Frost,2005,2.9132368934056148,0.03212120236282718,4,
15000000.0,BBC Films,UK,Woody Allen,Drama,23089926.0,Match Point,R,2006-01-20,124,7.7,Scarlett Johansson,178918,Woody Allen,2005,-0.30947320553726276,0.056540511554609055,0,first
65000000.0,Columbia Pictures Corporation,USA,Jon Favreau,Action,29258869.0,Zathura: A Space Adventure,PG,2005-11-11,101,6.1,Josh Hutcherson,74238,Chris Van Allsburg,2005,0.7205236360235369,-0.8235387693167442,3,fourth
25000000.0,Universal Pictures,USA,Kirk Jones,Comedy,47144110.0,Nanny McPhee,PG,2006-01-27,97,6.6,Emma Thompson,55077,Emma Thompson,2005,0.17381661693670725,0.15781510954214858,3,fourth
75000000.0,DreamWorks Animation,USA,Eric Darnell,Animation,193595521.0,Madagascar,PG,2005-05-27,86,6.9,Chris Rock,294387,Mark Burton,2005,2.9083846800224236,0.982307050195712,1,second
50000000.0,Warner Bros.,USA,Jay Chandrasekhar,Action,80270227.0,The Dukes of Hazzard,PG-13,2005-08-05,104,5.1,Seann William Scott,68938,John O'Brien,2005,1.053850847940759,0.08281127933012387,3,fourth
50000000.0,Entertainment Manufacturing Company,USA,Andrew Niccol,Crime,24149632.0,Lord of War,R,2005-09-16,122,7.6,Nicolas Cage,261701,Andrew Niccol,2005,0.37192991700978095,-0.5991096516008543,3,fourth
950000.0,Lions Gate Films,USA,David Slade,Crime,1007962.0,Hard Candy,R,2006-04-28,104,7.1,Patrick Wilson,138885,Brian Nelson,2005,-0.8461566804714359,0.05658842702387087,0,first
55000000.0,Touchstone Pictures,USA,Robert Schwentke,Drama,89707299.0,Flightplan,PG-13,2005-09-23,98,6.2,Jodie Foster,134241,Peter A. Dowling,2005,1.264024445491033,0.10197726463718286,1,second
85000000.0,Columbia Pictures Corporation,USA,Rob Marshall,Drama,57490508.0,Memoirs of a Geisha,PG-13,2005-12-23,145,7.4,Ziyi Zhang,124833,Robin Swicord,2005,1.4455812952629723,-0.8625115590501696,3,fourth
20000000.0,Screen Gems,USA,Scott Derrickson,Drama,75072454.0,The Exorcism of Emily Rose,PG-13,2005-09-09,119,6.7,Laura Linney,103356,Paul Harris Boardman,2005,0.4176699102870597,0.5926760151357164,3,fourth
30000000.0,New Line Cinema,USA,Terrence Malick,Biography,12712093.0,The New World,PG-13,2006-01-20,135,6.7,Colin Farrell,74644,Terrence Malick,2005,-0.14906275848976494,-0.35607187812753893,3,fourth
30000000.0,Warner Bros.,Australia,Jaume Collet-Serra,Horror,32064800.0,La casa de cera,R,2005-05-06,108,5.3,Chad Michael Murray,100354,Charles Belden,2005,0.08609183980831898,-0.12091727982945501,3,fourth
