budget,company,country,director,genre,gross,name,rating,released,runtime,score,star,votes,writer,year,Component1,Component2,Component3,Component4,Component5,cluster,Segment
8700000.0,Delphi V Productions,USA,Paul Michael Glaser,Action,4865912.0,Band of the Hand,R,1986-04-11,109,6.3,Stephen Lang,2297,Leo Garen,1986,-0.7233814839717233,0.352583381830427,0.27816141167982383,-0.034679192587712945,0.053511780090254896,1,second
0.0,Cannon Group,USA,John Frankenheimer,Crime,5186646.0,52 Pick-Up,R,1986-11-07,110,6.4,Roy Scheider,3866,Elmore Leonard,1986,-0.7795952756741367,0.5428674915494544,0.20868148430657993,0.058785705003947905,0.17796742080457828,1,second
0.0,Paramount Pictures,USA,Randa Haines,Drama,31853080.0,Children of a Lesser God,R,1986-10-31,119,7.2,William Hurt,12538,Mark Medoff,1986,-0.0962709440313792,1.1870262592767802,0.15597360494909276,-0.2056241479690239,0.5589926271630612,1,second
12000000.0,Columbia Pictures Corporation,USA,Mark L. Lester,Action,15945534.0,Armed and Dangerous,PG-13,1986-08-15,88,5.6,John Candy,9040,Brian Grazer,1986,-1.156812734216223,-0.8056572643133237,-0.3169349134116729,0.038523517610446506,0.008259759448939532,3,fourth
1100000.0,Black Snake,USA,Jim Jarmusch,Comedy,1436000.0,Down by Law,R,1986-10-30,107,7.8,Tom Waits,39456,Jim Jarmusch,1986,-0.30406863295194714,1.4345348020877693,-0.623622569121383,-0.49488684509873837,-0.00816467392181053,1,second
10000000.0,Orion Pictures,USA,Robert Mandel,Action,20603715.0,F/X,R,1986-02-07,109,6.7,Bryan Brown,14502,Robert T. Megginson,1986,-0.3967694232073663,0.5232284948944916,0.043729469414893876,-0.20058389436867233,0.20798296145995415,1,second
0.0,Fuji Television Network,Japan,Masanori Hata,Adventure,13245219.0,The Adventures of Milo and Otis,G,1989-08-25,90,7.1,Ky�ko Koizumi,9178,Masanori Hata,1986,-0.8622284132174072,0.4287523242142928,-0.9767944305204499,-0.5003346248995802,0.14776256422090536,1,second
0.0,Religioso Primitiva,USA,Jonathan Demme,Comedy,8362969.0,Something Wild,R,1986-11-07,114,6.9,Jeff Daniels,13186,E. Max Frye,1986,-0.49068990892183234,0.9787697759783069,0.1232858316708943,-0.09450474937489324,0.21695325838546844,1,second
18000000.0,Gladden Entertainment,USA,Marshall Brickman,Sci-Fi,3900000.0,The Manhattan Project,PG-13,1986-06-13,117,6.1,John Lithgow,4666,Marshall Brickman,1986,-0.5065974234141555,0.33802736005623885,0.7661495824668639,0.03913969416135514,-0.04459179659761838,1,second
5000000.0,Paramount Pictures,USA,Fred Walton,Horror,12947763.0,April Fool's Day,R,1986-03-28,89,6.2,Deborah Foreman,11458,Danilo Bach,1986,-1.0718205529828826,-0.27101099131968825,-0.5910806824154239,-0.12997138372355052,0.06314405256321785,1,second
25000000.0,Brooksfilms,USA,Alan Johnson,Action,1579260.0,Solarbabies,PG-13,1986-11-26,94,4.8,Richard Jordan,3397,Walon Green,1986,-1.2594375550196035,-1.251711506547889,0.4285776256427482,0.3012167590760877,-0.30591858115371673,3,fourth
0.0,Kings Road Entertainment,USA,Jim McBride,Comedy,17685307.0,The Big Easy,R,1987-08-28,102,6.6,Dennis Quaid,10022,Daniel Petrie Jr.,1986,-0.7350648542589958,0.3889091946607173,-0.26046130084564295,-0.11308555134721253,0.276619240800483,1,second
0.0,Lawrence Gordon Productions,USA,Penny Marshall,Comedy,25587804.0,Jumpin' Jack Flash,R,1986-10-10,105,5.8,Whoopi Goldberg,15703,David Franzoni,1986,-0.8159720159976939,-0.12424682883604153,0.1877253258078863,0.33647662897816477,0.38277152629143996,3,fourth
40000000.0,Carthago Films S.a.r.l.,France,Roman Polanski,Adventure,1641825.0,Piratas,PG-13,1986-07-18,121,6.1,Walter Matthau,6596,John Brownjohn,1986,-0.1553638913909776,0.21873003943519284,1.0916714161280938,-0.2129531421959961,-0.3560597719483965,1,second
0.0,Meltdown Productions,UK,Jimmy T. Murakami,Animation,5274.0,When the Wind Blows,,1988-03-11,80,7.8,Peggy Ashcroft,7900,Raymond Briggs,1986,-0.9748837880791688,0.7118075257892988,-1.6780798469996505,-0.956738490134536,-0.08390922759930783,1,second
10000000.0,Touchstone Pictures,USA,Jeff Kanew,Comedy,21458229.0,Tough Guys,PG,1986-10-03,104,6.2,Burt Lancaster,5584,James Orr,1986,-0.6663856529609185,0.03663930530293856,0.07759211879021433,-0.060473626206539746,0.21497469774122127,1,second
0.0,Compa��a Iberoamericana de TV,Spain,Pedro Almod�var,Drama,206952.0,Matador,NC-17,1986-03-07,110,7.0,Assumpta Serna,8959,Pedro Almod�var,1986,-0.6293834684749945,0.9845015199611634,-0.0611830281378714,-0.2052528974477084,0.09735377545949225,1,second
0.0,New World Pictures,USA,Harley Cokeliss,Action,6637565.0,Black Moon Rising,R,1986-01-10,100,5.4,Tommy Lee Jones,4045,John Carpenter,1986,-1.2480902032564158,-0.42801122626063687,0.2253222291932852,0.43044904864693395,0.13633161161571775,3,fourth
12000000.0,Cinema Group Ventures,USA,Roger Spottiswoode,Comedy,7790931.0,The Best of Times,PG-13,1986-01-31,104,5.9,Robin Williams,5523,Ron Shelton,1986,-0.8525488884289013,-0.11295263758501002,0.2524561312789208,0.0695180320778832,0.007565344957400509,3,fourth
2000000.0,Paragon Arts International,UK,Kevin Tenney,Horror,7369373.0,Witchboard,R,1987-03-13,98,5.7,Todd Allen,4744,Kevin Tenney,1986,-1.1631368941185418,-0.30281235201959483,0.0190503700466163,0.23446114612811542,0.10449685707648307,3,fourth
14000000.0,Touchstone Pictures,USA,Paul Mazursky,Comedy,62134225.0,Down and Out in Beverly Hills,R,1986-01-31,103,6.1,Nick Nolte,13569,Ren� Fauchois,1986,-0.25912831118764246,-0.3377817689119348,0.002999141983295178,-0.0737760095317397,0.6679837496503868,1,second
